
Train,2864,YPR HWH PREMIUM,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,


Train,11005,PUDUCHERRY EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,DR,DADAR,1,Source,21:30:00,0,0,1,
2,KYN,KALYAN JN,1,22:06:00,22:10:00,4,45,1,
3,KJT,KARJAT,1,22:53:00,22:55:00,2,91,1,
4,LNL,LONAVALA,1,23:54:00,23:55:00,1,119,1,
5,PUNE,PUNE JN,1,01:00:00,01:10:00,10,183,2,
6,STR,SATARA,1,03:57:00,04:00:00,3,328,2,
7,KRD,KARAD,1,04:52:00,04:55:00,3,387,2,
8,TKR,TAKARI,1,05:18:00,05:20:00,2,414,2,
9,SLI,SANGLI,1,06:12:00,06:15:00,3,455,2,
10,MRJ,MIRAJ JN,1,06:50:00,06:55:00,5,462,2,
11,KUD,KUDACHI,1,07:23:00,07:25:00,2,495,2,
12,GPB,GHATPRABHA,1,08:00:00,08:02:00,2,542,2,
13,BGM,BELGAUM,1,09:03:00,09:05:00,2,600,2,
14,LD,LONDA JN,1,09:58:00,10:00:00,2,651,2,
15,LWR,ALNAVAR JN,1,10:38:00,10:40:00,2,684,2,
16,DWR,DHARWAR,1,11:25:00,11:27:00,2,721,2,
17,UBL,HUBLI JN,1,12:30:00,12:40:00,10,741,2,
18,HVR,HAVERI,1,13:50:00,13:52:00,2,816,2,
19,RNR,RANIBENNUR,1,14:22:00,14:24:00,2,849,2,
20,HRR,HARIHAR,1,14:48:00,14:50:00,2,871,2,
21,DVG,DAVANGERE,1,15:07:00,15:10:00,3,885,2,
22,RRB,BIRUR JN,1,16:58:00,17:00:00,2,999,2,
23,DRU,KADUR,1,17:08:00,17:10:00,2,1005,2,
24,ASK,ARSIKERE JN,1,17:55:00,18:00:00,5,1045,2,
25,TTR,TIPTUR,1,18:26:00,18:28:00,2,1070,2,
26,TK,TUMKUR,1,19:28:00,19:30:00,2,1141,2,
27,YPR,YESVANTPUR JN,1,20:50:00,22:00:00,22,1205,2,
28,BAND,BANASWADI,1,22:19:00,22:21:00,2,1219,2,
29,KJM,KRISHNARAJAPURM,1,22:33:00,22:35:00,2,1227,2,
30,BWT,BANGARAPET,1,23:28:00,23:30:00,2,1283,2,
