
Train,11050,AHMEDABAD EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,KOP,C SHAHUMHARAJ T,1,Source,12:50:00,0,0,1,
2,MRJ,MIRAJ JN,1,13:40:00,13:45:00,5,48,1,
3,SLI,SANGLI,1,13:57:00,14:00:00,3,55,1,
4,STR,SATARA,1,16:00:00,16:03:00,3,181,1,
5,PUNE,PUNE JN,1,19:40:00,19:50:00,10,327,1,
6,LNL,LONAVALA,1,20:43:00,20:45:00,2,390,1,
7,KJT,KARJAT,1,21:28:00,21:30:00,2,419,1,
8,KYN,KALYAN JN,1,22:20:00,22:25:00,5,465,1,
9,BIRD,BHIWANDI ROAD,1,22:48:00,22:50:00,2,490,1,
10,BSR,VASAI ROAD,1,23:45:00,23:50:00,5,517,1,
11,VAPI,VAPI,1,01:44:00,01:46:00,2,640,2,
12,NVS,NAVSARI,1,03:02:00,03:04:00,2,703,2,
13,ST,SURAT,1,03:50:00,03:55:00,5,732,2,
14,BH,BHARUCH JN,1,04:42:00,04:44:00,2,791,2,
15,BRC,VADODARA JN,1,05:45:00,05:50:00,5,861,2,
16,ANND,ANAND JN,1,06:24:00,06:26:00,2,897,2,
17,ND,NADIAD JN,1,06:44:00,06:46:00,2,915,2,
18,ADI,AHMEDABAD JN,1,07:45:00,Destination,0,961,2,


Train,11057,AMRITSAR EXPRES,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,LTT,LOKMANYATILAK T,1,Source,23:45:00,0,0,1,
2,TNA,THANE,1,00:07:00,00:10:00,3,18,2,
3,KYN,KALYAN JN,1,00:30:00,00:35:00,5,38,2,
4,KSRA,KASARA,1,01:43:00,01:45:00,2,105,2,
5,IGP,IGATPURI,1,02:15:00,02:20:00,5,121,2,
6,DVL,DEVLALI,1,03:08:00,03:10:00,2,166,2,
7,NK,NASIK ROAD,1,03:15:00,03:20:00,5,172,2,
8,MMR,MANMAD JN,1,04:05:00,04:10:00,5,245,2,
9,CSN,CHALISGAON JN,1,05:03:00,05:05:00,2,312,2,
10,PC,PACHORA JN,1,05:33:00,05:35:00,2,357,2,
11,JL,JALGAON JN,1,06:08:00,06:10:00,2,405,2,
12,BSL,BHUSAVAL JN,1,06:40:00,06:50:00,10,429,2,
13,SAV,SAVDA,1,07:03:00,07:05:00,2,444,2,
14,NB,NIMBHORA,1,07:13:00,07:15:00,2,453,2,
15,RV,RAVER,1,07:23:00,07:25:00,2,463,2,
16,BAU,BURHANPUR,1,07:43:00,07:45:00,2,483,2,
17,NPNR,NEPANAGAR,1,08:03:00,08:05:00,2,510,2,
18,KNW,KHANDWA,1,09:35:00,09:40:00,5,552,2,
19,TLV,TALVADYA,1,09:53:00,09:55:00,2,568,2,
20,CAER,CHHANERA,1,10:13:00,10:15:00,2,598,2,
21,KKN,KHIRKIYA,1,10:36:00,10:38:00,2,628,2,
22,HD,HARDA,1,11:04:00,11:06:00,2,660,2,
23,TBN,TIMARNI,1,11:20:00,11:22:00,2,674,2,
24,BPF,BANAPURA,1,12:04:00,12:06:00,2,702,2,
25,ET,ITARSI JN,1,12:50:00,12:55:00,5,736,2,
26,HBD,HOSHANGABAD,1,13:13:00,13:15:00,2,753,2,
27,BNI,BUDNI,1,13:25:00,13:27:00,2,761,2,
28,ODG,OBAIDULLA GANJ,1,14:03:00,14:05:00,2,792,2,
29,MDDP,MANDI DIP,1,14:19:00,14:21:00,2,805,2,
30,HBJ,HABIBGANJ,1,14:38:00,14:40:00,2,821,2,
31,BPL,BHOPAL JN,1,15:05:00,15:10:00,5,827,2,
32,SCI,SANCHI,1,15:41:00,15:43:00,2,871,2,
33,BHS,VIDISHA,1,15:56:00,15:58:00,2,881,2,
34,GLG,GULABHGANJ,1,16:16:00,16:18:00,2,902,2,
35,BAQ,GANJ BASODA,1,16:30:00,16:32:00,2,920,2,
36,MABA,MANDI BAMORA,1,16:56:00,16:58:00,2,948,2,
37,BINA,BINA JN,1,17:40:00,17:45:00,5,966,2,
38,DUA,DHAURA,1,18:21:00,18:23:00,2,1000,2,
39,JLN,JAKHALAUN,1,18:35:00,18:37:00,2,1012,2,
40,LAR,LALITPUR,1,18:51:00,18:53:00,2,1028,2,
41,TBT,TALBAHAT,1,19:21:00,19:23:00,2,1068,2,
42,BZY,BASAI,1,19:36:00,19:38:00,2,1081,2,
43,BAB,BABINA,1,19:50:00,19:52:00,2,1093,2,
44,JHS,JHANSI JN,1,20:30:00,20:38:00,8,1118,2,
45,DAA,DATIA,1,21:00:00,21:02:00,2,1143,2,
46,SOR,SONAGIR,1,21:13:00,21:15:00,2,1154,2,
47,DBA,DABRA,1,21:31:00,21:33:00,2,1173,2,
48,GWL,GWALIOR,1,22:10:00,22:18:00,8,1215,2,
49,MRA,MORENA,1,22:43:00,22:45:00,2,1254,2,
50,DHO,DHAULPUR,1,23:08:00,23:10:00,2,1281,2,
51,AGC,AGRA CANTT,1,00:08:00,00:16:00,8,1334,3,
52,RKM,RAJA KI MANDI,1,00:25:00,00:27:00,2,1338,3,
53,MTJ,MATHURA JN,1,01:10:00,01:15:00,5,1388,3,
54,KSV,KOSI KALAN,1,01:48:00,01:50:00,2,1429,3,
55,PWL,PALWAL,1,02:48:00,02:50:00,2,1471,3,
56,BVH,BALLABGARH,1,03:08:00,03:10:00,2,1492,3,
57,FDB,FARIDABAD,1,03:21:00,03:23:00,2,1500,3,
58,NZM,H NIZAMUDDIN,1,03:47:00,03:49:00,2,1521,3,
59,NDLS,NEW DELHI,1,04:10:00,04:30:00,20,1528,3,
60,SZM,SUBZI MANDI,1,04:46:00,04:48:00,2,1532,3,
61,BHD,BADLI,1,05:01:00,05:03:00,2,1543,3,
62,NUR,NARELA,1,05:18:00,05:20:00,2,1555,3,
63,SNP,SONIPAT,1,05:48:00,05:50:00,2,1573,3,
64,GNU,GANAUR,1,06:06:00,06:08:00,2,1589,3,
65,SMK,SAMALKHA,1,06:21:00,06:23:00,2,1601,3,
66,PNP,PANIPAT JN,1,06:42:00,06:44:00,2,1618,3,
67,GRA,GHARAUNDA,1,07:00:00,07:02:00,2,1634,3,
68,KUN,KARNAL,1,07:18:00,07:20:00,2,1652,3,
69,TRR,TARAORI,1,07:34:00,07:36:00,2,1664,3,
70,NLKR,NILOKHERI,1,07:44:00,07:46:00,2,1668,3,
71,KKDE,KURUKSHETRA JN,1,08:22:00,08:24:00,2,1685,3,
72,SHDM,SHAHBAD MARKNDA,1,08:43:00,08:45:00,2,1707,3,
73,UMB,AMBALA CANT JN,1,09:20:00,09:40:00,20,1727,3,
74,UBC,AMBALA CITY,1,09:52:00,09:54:00,2,1734,3,
75,RPJ,RAJPURA JN,1,10:11:00,10:13:00,2,1754,3,
76,PTA,PATIALA,1,10:35:00,10:40:00,5,1780,3,
77,NBA,NABHA,1,11:10:00,11:12:00,2,1805,3,
78,DUI,DHURI JN,1,11:45:00,11:50:00,5,1833,3,
79,MET,MALERKOTLA,1,12:07:00,12:09:00,2,1850,3,
80,AHH,AHMADGARH,1,12:48:00,12:50:00,2,1869,3,
81,LDH,LUDHIANA JN,1,13:25:00,13:35:00,10,1895,3,
82,PHR,PHILLAUR JN,1,13:58:00,14:00:00,2,1908,3,
83,GRY,GORAYA,1,14:12:00,14:14:00,2,1920,3,
84,PGW,PHAGWARA JN,1,14:25:00,14:27:00,2,1930,3,
85,JRC,JALANDHAR CANT,1,14:41:00,14:43:00,2,1947,3,
86,JUC,JALANDHAR CITY,1,14:55:00,15:00:00,5,1951,3,
87,BEAS,BEAS,1,15:39:00,15:41:00,2,1988,3,
88,JNL,JANDIALA,1,15:59:00,16:01:00,2,2011,3,
89,ASR,AMRITSAR JN,1,16:30:00,00:00:00,0,2030,3,
90,,,,00:00:00,00:00:00,0,,0,
91,CSN,CHALISGAON JN,2,05:03:00,06:00:00,9,312,2,
